1423835_at	Zfp503
1423836_at	Zfp503
1423837_at	Ist1
1423838_s_at	Ist1
1423839_a_at	Btf3
1423840_at	Coa3
1423841_at	Brix1
1423842_a_at	Rnf41
1423843_at	Lrrc61
1423844_s_at	Cbs
1423845_at	Csdc2
1423846_x_at	Tuba1b
1423847_at	Ncapd2
1423848_at	Mphosph6
1423849_a_at	Clk3
1423850_at	Nsun2
1423851_a_at	Shisa2
1423852_at	Shisa2
1423853_at	Lamp5
1423854_a_at	Rasl11b
1423855_x_at	Gm10362 
1423856_at	Popdc3
1423857_at	Mrpl30
1423858_a_at	Hmgcs2
1423859_a_at	Ptgds
1423860_at	Ptgds
1423861_at	Plekhf2
1423862_at	Plekhf2
1423863_at	Abcf2
1423864_at	Nrbp1
1423865_at	Slc44a1
1423866_at	Serpina3k
1423867_at	Serpina3k
1423868_at	Txnrd3
1423869_s_at	Txnrd3
1423870_at	Aida
1423871_at	Tmem63a
1423872_a_at	Dag1
1423873_at	Lsm1
1423874_at	Wdr33
1423875_at	Fam160b1
1423876_at	Fam160b1
1423877_at	Chaf1b
1423878_at	Gypc
1423879_at	D030056L22Rik
1423880_at	Rtcb
1423881_at	Ppp6r3
1423882_at	Rfwd3
1423883_at	Acsl1
1423884_at	Cirh1a
1423885_at	Lamc1
1423886_at	Lamc1
1423887_a_at	Telo2
1423888_at	Telo2
1423889_at	Gm5617
1423890_x_at	Atp1b1
1423891_at	Gstt3
1423892_at	Apbb1
1423893_x_at	Apbb1
1423894_a_at	Dalrd3
1423895_a_at	Celf2
1423896_a_at	Rnf187
1423897_at	Rnf187
1423898_a_at	Trip12
1423899_at	Trip12
1423900_at	Trip12
1423901_at	Trip12
1423902_s_at	Arhgef12
1423903_at	Pvr
1423904_a_at	Pvr
1423905_at	Pvr
1423906_at	Hsbp1
1423907_a_at	Ndufs8
1423908_at	Ndufs8
1423909_at	Tmem176a
1423910_at	Agap3
1423911_at	Ppp2r5a
1423912_at	Aspscr1
1423913_at	Hectd3
1423914_at	Hid1
1423915_at	Olfml2b
1423916_s_at	Mlf2
1423917_a_at	Cttn
1423918_at	Rhbdd1
1423919_at	Haus3
1423920_at	Ncaph
1423921_at	Ints3
1423922_s_at	Ints3
1423923_a_at	Wrap73
1423924_s_at	Tspan14
1423925_at	Dhx16
1423926_at	Slc39a13
1423927_at	Slc35b2
1423928_at	Ubac2
1423929_at	Ubac2
1423930_at	Anapc4
1423931_s_at	Anapc4
1423932_at	Celf1
1423933_a_at	Plet1
1423934_at	Plet1
1423935_x_at	Krt14
1423936_at	Kctd5
1423937_at	Kctd5
1423938_at	Llgl2
1423939_a_at	Yif1a
1423940_at	Yif1a
1423941_at	Camk2g
1423942_a_at	Camk2g
1423943_at	Dus1l
1423944_at	Hpx
1423945_a_at	Pkig
1423946_at	Pdlim2
1423947_at	1110008P14Rik
1423948_at	Bag2
1423949_at	Ube2z
1423950_at	Kcnab3
1423951_at	Tm2d3
1423952_a_at	Krt7
1423953_at	Cdkal1
1423954_at	C3
1423955_a_at	Cers2
1423956_at	Smap1
1423957_at	Aen
1423958_a_at	Ttc33
1423959_at	Ropn1l
1423960_at	Lpcat3
1423961_at	Wdr26
1423962_at	Wdr26
1423963_at	Wdr26
1423964_at	Cpsf3l
1423965_at	Cd99l2
1423966_at	Cd99l2
1423967_at	Palm
1423968_at	Ugt3a2
1423969_at	Nup37
1423970_at	Thoc3
1423971_at	Thoc3
1423972_at	Etfa
1423973_a_at	Arf3
1423974_at	Numa1
1423975_s_at	Numa1
1423976_at	4930453N24Rik
1423977_at	4930453N24Rik
1423978_at	Sbk1
1423979_a_at	Slc25a29
1423980_at	Slc25a29
1423981_x_at	Slc25a29
1423982_at	Gm5446 
1423983_at	Sez6l2
1423984_a_at	Meis3
1423985_at	Gm15776 
1423986_a_at	Shisa5
1423987_at	Cdc26
1423988_at	Ak1
1423989_at	Tecpr1
1423990_at	Rab28
1423991_at	Nop14
1423992_at	Gatad2a
1423993_at	Atp6v1f
1423994_at	Kif1b
1423995_at	Kif1b
1423996_a_at	Il4ra
1423997_at	Csde1
1423998_at	Gtf3c5
1423999_at	Abl1
1424000_a_at	Rps11
1424001_at	Nifk
1424002_at	Pdcl3
1424003_at	Pomk
1424004_x_at	Pomk
1424005_at	B230219D22Rik
1424006_at	Aarsd1
1424007_at	Gdf10
1424008_a_at	Rbpms2
1424009_at	Reg3d
1424010_at	Mfap4
1424011_at	Aqp9
1424012_at	Ttc30a1
1424013_at	Etf1
1424014_at	Pagr1a
1424015_at	Dennd5a
1424016_at	Aagab
1424017_a_at	Hint1
1424018_at	Hint1
1424019_at	Nop2
1424020_at	Arl6ip6
1424021_at	Arl6ip6
1424022_at	Osgin1
1424023_at	Ctu1
1424024_at	Mcfd2
1424025_at	Ginm1
1424026_s_at	Ginm1
1424027_at	Pxn
1424028_at	Chtf8
1424029_at	Tspyl4
1424030_at	Grhl1
1424031_at	Snx11
1424032_at	Hvcn1
1424033_at	Srsf7
1424034_at	Rora
1424035_at	Rora
1424036_at	Prpf6
1424037_at	Itpka
1424038_a_at	Emc10
1424039_at	Saraf
1424040_at	Map7d1
1424041_s_at	C1s1
1424042_at	Tmem5
1424043_at	Ppil4
1424044_at	Kdm4b
1424045_at	Tmem242
1424046_at	Bub1
1424047_at	Dera
1424048_a_at	Cyb5r1
1424049_at	Lrrc42
1424050_s_at	Fgfr1
1424051_at	Col4a2
1424052_at	Thap4
1424053_a_at	Tcf25
1424054_at	Btbd2
1424055_at	Ncoa5
1424056_at	Usp48
1424057_at	Gdap2
1424058_at	Prrc1
1424059_at	Suv420h2
1424060_at	Neil3
1424061_at	Manbal
1424062_at	Ube2d1
1424063_at	Scgb1b27
1424064_at	Rab1b
1424065_at	Edem1
1424066_at	Dus3l
1424067_at	Icam1
1424068_at	Tcta
1424069_at	Napg
1424070_at	Napg
1424071_s_at	Ice1
1424072_at	2010107G23Rik
1424073_at	Babam1
1424074_at	Btf3l4
1424075_at	9430016H08Rik
1424076_at	Gdpd1
1424077_at	Gdpd1
1424078_s_at	Pex6
1424079_x_at	Urm1
1424080_at	Dcps
1424081_at	Pcgf6
1424082_at	Tbc1d13
1424083_at	Ptbp3
1424084_at	Ptbp3
1424085_at	Ndufa4
1424086_at	Oaf
1424087_at	Psmg3
1424088_at	Myg1
1424089_a_at	Tcf4
1424090_at	Sdcbp2
1424091_at	Zfp868
1424092_at	Epb41
1424093_x_at	Cd151
1424094_at	Nek9
1424095_at	Rtca
1424096_at	Krt5
1424097_at	Elovl7
1424098_at	Elovl7
1424099_at	Gpx8
1424100_s_at	Cend1
1424101_at	Hnrnpl
1424102_at	Atg4b
1424103_at	Atg4b
1424104_at	Syf2
1424105_a_at	Pttg1
1424106_at	Jkamp
1424107_at	Kif18a
1424108_at	Glo1
1424109_a_at	Glo1
1424110_a_at	Nme1
1424111_at	Igf2r
1424112_at	Igf2r
1424113_at	Lamb1
1424114_s_at	Lamb1
1424115_at	Ppp5c
1424116_x_at	Ppp5c
1424117_at	Gm2573 
1424118_a_at	Spc25
1424119_at	Prkab1
1424120_at	Rnf8
1424121_at	Commd1
1424122_s_at	Commd1
1424123_at	Mfsd7c
1424124_at	Mospd2
1424125_at	Kcnk13
1424126_at	Alas1
1424127_at	Eya2
1424128_x_at	Aurkb
1424129_at	Mfsd1
1424130_a_at	Ptrf
1424131_at	Col6a3
1424132_at	Hras
1424133_at	Tmem98
1424134_at	Rspry1
1424135_at	Rspry1
1424136_a_at	Ppih
1424137_at	Gprin1
1424138_at	Rhbdf1
1424139_at	Rap1a
1424140_at	Gale
1424141_at	Hectd1
1424142_at	Ikbkap
1424143_a_at	Cdt1
1424144_at	Cdt1
1424145_at	Prr3
1424146_at	Gpr37l1
1424147_at	Ahsa1
1424148_a_at	Stap2
1424149_at	Nsmce2
1424150_at	Gdpd5
1424151_at	Aimp2
1424152_at	Sall4
1424153_s_at	Sall4
1424154_a_at	Isca2
1424155_at	Fabp4
1424156_at	Rbl1
1424157_at	Ehd2
1424158_at	Ehd2
1424159_at	Fam134c
1424160_at	Alg5
1424161_at	Ddx27
1424162_at	Trim29
1424163_at	Rmnd5b
1424164_at	Mrpl50
1424165_a_at	Sharpin
1424166_at	Msh3
1424167_a_at	Pmm1
1424168_a_at	Capzb
1424169_at	Tax1bp3
1424170_at	Phf5a
1424171_a_at	Hagh
1424172_at	Hagh
1424173_at	Ndc1
1424174_at	Shkbp1
1424175_at	Tef
1424176_a_at	Anxa4
1424177_at	Tmem38a
1424178_at	Tmem38a
1424179_at	Plekhj1
1424180_a_at	Med24
1424181_at	Sept6
1424182_at	Acat1
1424183_at	Acat1
1424184_at	Acadvl
1424185_a_at	Morf4l1 
1424186_at	Ccdc80
1424187_at	Ccdc80
1424188_at	Rabgap1
1424189_at	Pigc
1424190_at	Pigc
1424191_a_at	Tmem41a
1424192_at	Fam216a
1424193_at	Pwp2
1424194_at	Rcsd1
1424195_a_at	Inpp5d
1424196_at	Yipf1
1424197_s_at	Fance
1424198_at	Dlg5
1424199_at	Seh1l
1424200_s_at	Seh1l
1424201_a_at	Seh1l
1424202_at	Seh1l
1424203_at	Ncln
1424204_at	Mrpl13
1424205_at	Smarca5
1424206_at	Smarca5
1424207_at	Smarca5
1424208_at	Ptger4
1424209_at	Rars2
1424210_at	Erlin1
1424211_at	Slc25a33
1424212_at	Atg101
1424213_at	Ubiad1
1424214_at	Parm1
1424215_at	Fundc1
1424216_a_at	Papola
1424217_at	Papola
1424218_a_at	Creb3l4
1424219_at	Mrm1
1424220_a_at	Porcn
1424221_at	Susd4
1424222_s_at	Rad23b
1424223_at	Mtfp1
1424224_at	Asb8
1424225_at	Asb8
1424226_at	9030617O03Rik
1424227_at	Polr3h
1424228_at	Polr3h
1424229_at	Dyrk3
1424230_at	Exoc6
1424231_s_at	Exoc6
1424232_a_at	Cmtr2
1424233_at	Meox2
1424234_s_at	Meox2
1424235_at	Ormdl2
1424236_at	Tbc1d10b
1424237_at	Zfp639
1424238_at	Sirt7
1424239_at	Fam65a
1424240_at	Arfip2
1424241_at	Slc30a6
1424242_at	Bphl
1424243_at	Rwdd4a
1424244_at	Rwdd4a
1424245_at	Ces2c 
1424246_a_at	Tes
1424247_at	Erc1
1424248_at	Arpp21
1424249_a_at	Arhgap9
1424250_a_at	Arhgef3
1424251_a_at	Hnrnpdl
1424252_at	Hnrnpdl
1424253_at	Fam114a2
1424254_at	Ifitm1
1424255_at	Supt5
1424256_at	Rdh12
1424257_at	Cdk7
1424258_at	Polr2d
1424259_at	Lmf1
1424260_at	Slc12a1
1424261_at	Zfp672
1424262_at	Aif1l
1424263_at	Aif1l
1424264_at	Med6
1424265_at	Npl
1424266_s_at	Ces1f
1424267_at	1810043G02Rik
1424268_at	Smox
1424269_a_at	Myl6
1424270_at	Dclk1
1424271_at	Dclk1
1424272_at	Stat3
1424273_at	Cyp2c70
1424274_at	Uso1
1424275_s_at	Trim41
1424276_at	Snx16
1424277_at	Haus7 
1424278_a_at	Birc5
1424279_at	Fga
1424280_at	Mospd1
1424281_at	Ubap2
1424282_at	Gatb
1424283_at	Jtb
1424284_at	Pomt1
1424285_s_at	Arl6ip4
1424286_at	Prkx
1424287_at	Prkx
1424288_at	Mepce
1424289_at	Osgin2
1424290_at	Osgin2
1424291_at	Nup93
1424292_at	Depdc1a
1424293_s_at	Tmem55a
1424294_at	Ppp4r1
1424295_at	Dppa3
1424296_at	Gclc
1424297_at	Zfp282
1424298_at	Zfp282
1424299_at	Oma1
1424300_at	Gemin6
1424301_at	Zfp219
1424302_at	Pirb
1424303_at	Depdc7
1424304_at	Tpcn2
1424305_at	Jchain
1424306_at	Elovl4
1424307_at	Arhgap1
1424308_at	Slc24a3
1424309_a_at	Mocs2
1424310_at	Mocs2
1424311_at	Carkd
1424312_at	Adipor1
1424313_a_at	Ndufs7
1424314_at	Prpf3
1424315_at	1110004E09Rik
1424316_at	Slc25a19
1424317_at	Slc25a19
1424318_at	Lgalsl
1424319_at	Oraov1
1424320_a_at	Traf7
1424321_at	Rfc4
1424322_at	Apex2
1424323_at	Noc2l
1424324_at	Esco1
1424325_at	Esco1
1424326_at	Lemd2
1424327_at	Anapc15
1424328_s_at	Anapc15
1424329_a_at	Prrg2
1424330_at	Senp1
1424331_at	Rab40c
1424332_at	Rab40c
1424333_at	Trmt10c
1424334_at	Tspan17
1424335_at	Ppcdc
1424336_at	Ppcdc
1424337_at	Snx15
1424338_at	Slc6a13
1424339_at	Oasl1
1424340_at	Lrrc48
1424341_s_at	Pcdha1 
1424342_at	Fyttd1
1424343_a_at	Eif1a
1424344_s_at	Eif1a
1424345_s_at	Ube2m
1424346_at	Ppp6c
1424347_at	Ppp6c
1424348_at	Mcmbp
1424349_a_at	Lpgat1
1424350_s_at	Lpgat1
1424351_at	Wfdc2
1424352_at	Cyp4a12a
1424353_at	Lrpprc
1424354_at	Tmem140
1424355_a_at	Sin3b
1424356_a_at	Metrnl
1424357_at	Tmem45b
1424358_at	Ube2e2
1424359_at	Oplah
1424360_at	Tti2
1424361_at	Tti2
1424362_at	Plpp7
1424363_at	Mycbpap
1424364_a_at	Uqcr10
1424365_at	1810037I17Rik 
1424366_at	Dolk
1424367_a_at	Homer2
1424368_s_at	Ubqln1
1424369_at	Psmf1
1424370_s_at	Psmf1
1424371_at	Psmf1
1424372_at	Mrpl32
1424373_at	Armcx3
1424374_at	Gimap4
1424375_s_at	Gimap4
1424376_at	Cdc42ep1
1424377_at	Rsl24d1
1424378_at	Ldlrap1
1424379_at	Car11
1424380_at	Vps37b
1424381_at	Sugp1
1424382_at	Rcn3
1424383_at	Tmem51
1424384_a_at	Znrf1
1424385_at	Gon4l
1424386_at	Reep2
1424387_at	Prl8a8
1424388_at	Cluap1
1424389_at	Nupl1
1424390_at	Nupl1
1424391_at	Nrd1
1424392_at	Adhfe1
1424393_s_at	Adhfe1
1424394_at	Selm
1424395_at	Asrgl1
1424396_a_at	Asrgl1
1424397_at	Dhx36
1424398_at	Dhx36
1424399_at	Uck1
1424400_a_at	Aldh1l1
1424401_at	Aldh1l1
1424402_at	Rufy3
1424403_a_at	Rufy3
1424404_at	0610040J01Rik
1424405_at	Mbip
1424406_at	Bcl2l13
1424407_s_at	Cbx6
1424408_at	Lims2
1424409_at	Cldn23
1424410_at	Ttc8
1424411_at	Tmem189
1424412_at	Ogfrl1
1424413_at	Ogfrl1
1424414_at	Ogfrl1
1424415_s_at	Spon1
1424416_at	Nkiras2
1424417_at	Vps36
1424418_at	Slc25a38
1424419_at	Lrrc14
1424420_at	Ccpg1
1424421_at	Flad1
1424422_s_at	Flad1 
1424423_at	Flad1 
1424424_at	Slc39a1
1424425_a_at	Mtap
1424426_at	Mtap
1424427_at	Tada1
1424428_at	Ino80e
1424429_s_at	Ino80e
1424430_at	Mterf4
1424431_at	Csgalnact2
1424432_at	Ubtd1
1424433_at	Msrb2
1424434_at	Mettl22
1424435_a_at	Gart
1424436_at	Gart
1424437_s_at	Abcg4
1424438_a_at	Leprot
1424439_at	1810065E05Rik
1424440_at	Mrps6
1424441_at	Slc27a4
1424442_a_at	Pja2
1424443_at	Tm6sf1
1424444_a_at	1600014C10Rik
1424445_at	Tm4sf5
1424446_at	Armc7
1424447_at	1700030K09Rik
1424448_at	Trim6
1424449_at	Frs3
1424450_at	Gprc5c
1424451_at	Acaa1b
1424452_at	Sltm
1424453_at	Pcyt1a
1424454_at	Tmem87a
1424455_at	Gprasp1
1424456_at	Pvrl2
1424457_at	Apbb3 
1424458_at	Kdm4c
1424459_at	Lpcat1
1424460_s_at	Lpcat1
1424461_at	Dctn2
1424462_at	Ergic2
1424463_at	Mfsd6
1424464_s_at	Mfsd6
1424465_at	Ccdc58
1424466_at	Ipo9
1424467_at	Phldb1
1424468_s_at	Phldb1
1424469_a_at	Cpsf4
1424470_a_at	Rapgef3
1424471_at	Rapgef3
1424472_at	Nol6
1424473_at	Polr2h
1424474_a_at	Camkk2
1424475_at	Camkk2
1424476_at	Camkk2
1424477_at	Tmem184a
1424478_at	Bbs2
1424479_at	Cst8
1424480_s_at	Akt2
1424481_s_at	Armcx5
1424482_at	Arhgef7
1424483_at	Mob1a
1424484_at	Mob1a
1424485_at	Angptl3
1424486_a_at	Txnrd1
1424487_x_at	Txnrd1
1424488_a_at	Ppa2
1424489_a_at	Trit1
1424490_at	Zfp428
1424491_at	Gm39062
1424492_at	Xndc1
1424493_s_at	Ugt3a1
1424494_s_at	Flywch2
1424495_a_at	Cklf
1424496_at	Idnk
1424497_at	Tmem219
1424498_at	Atl3
1424499_s_at	Atl3
1424500_at	Utp6
1424501_at	Utp6
1424502_at	Oit1
1424503_at	Rab22a
1424504_at	Rab22a
1424505_at	Rmnd1
1424506_at	Zfp768
1424507_at	Rin1
1424508_at	Ttc5
1424509_at	Cd177
1424510_at	Nudt6
1424511_at	Aurka
1424512_a_at	Txndc9
1424513_at	Atp6v0a2
1424514_at	Rnf126
1424515_at	B230354K17Rik
1424516_at	B230354K17Rik
1424517_at	Ccdc12
1424518_at	Apol9a 
1424519_at	Mtg1
1424520_at	Coa7
1424521_at	Zfand2b
1424522_at	Heatr1
1424523_at	Elmo1
1424524_at	Dram1
1424525_at	Grp 
1424526_a_at	Tgds
1424527_at	Ppp2r2d
1424528_at	Cgref1
1424529_s_at	Cgref1
1424530_at	Sec14l2
1424531_a_at	Tcea3
1424532_at	Ylpm1
1424533_a_at	Ccdc137
1424534_at	Mmd2
1424535_at	Tctn3
1424536_at	Oas1e
1424537_at	Gm10921 
1424538_at	SlcUbl4a 
1424539_at	SlcUbl4a 
1424540_at	Hipk1
1424541_at	Tmem70
1424542_at	S100a4
1424543_at	Nck1
1424544_at	Nrbp2
1424545_at	BC003965
1424546_at	BC003965
1424547_at	Car10
1424548_at	Zgpat
1424549_at	Degs2
1424550_at	Zfyve27
1424551_at	Zfyve27
1424552_at	Casp8
1424553_at	Hhatl
1424554_at	Ppp1r8
1424555_at	9430015G10Rik
1424556_at	Pycr1
1424557_at	Zcchc9
1424558_a_at	Cabyr
1424559_at	Rpap2
1424560_at	Pstpip1
1424561_at	Ece2
1424562_a_at	Slc25a4
1424563_at	Slc25a4
1424564_at	Rtfdc1
1424565_at	Polr3d
1424566_s_at	Polr3d
1424567_at	Tspan2
1424568_at	Tspan2
1424569_at	Ddx46
1424570_at	Ddx46
1424571_at	Ddx46
1424572_a_at	H2afy
1424573_at	Tmed5
1424574_at	Tmed5
1424575_at	Ift22
1424576_s_at	Cyp2c44
1424577_at	Msto1
1424578_at	Arrdc1
1424579_at	Slc35a3
1424580_at	Slc35a3
1424581_at	Stac2
1424582_at	Agk
1424583_at	Farp2
1424584_a_at	Ranbp10
1424585_at	Ranbp10
1424586_at	Ehbp1
1424587_at	Gemin8
1424588_at	Srgap3
1424589_s_at	Rnpc3
1424590_at	Ddx19b
1424591_at	Caap1
1424592_a_at	Dnase1
1424593_at	Ecd
1424594_at	Samd4
1424595_at	F11r
1424596_s_at	Lmcd1
1424597_at	Wash1
1424598_at	Ddx6
1424599_at	Fgl1
1424600_at	Aoc1
1424601_at	Xrcc4
1424602_s_at	Xrcc4
1424603_at	Sumf1
1424604_s_at	Sumf1
1424605_at	Pcsk5
1424606_at	Cplx3
1424607_a_at	Cwc22 
1424608_a_at	Bzw2
1424609_a_at	Cwc22 
1424610_at	Trub2
1424611_x_at	Trub2
1424612_at	Nipal2
1424613_at	Gprc5b
1424614_at	Pgap2
1424615_at	Pgap2
1424616_s_at	Pgap2
1424617_at	Ifi35
1424618_at	Hpd
1424619_at	Sf3b4
1424620_at	Nop16
1424621_at	Krcc1
1424622_at	Hsf1
1424623_at	Serpinb5
1424624_at	2900011O08Rik
1424625_a_at	Dennd1a
1424626_at	2010003K11Rik
1424627_at	Cst12
1424628_a_at	Ndufv3
1424629_at	Brca1
1424630_a_at	Brca1
1424631_a_at	Ighg 
1424632_a_at	Rev3l
1424633_at	Camk1g
1424634_at	Tceal1
1424635_at	Eef1a1
1424636_at	Ccdc47
1424637_s_at	Ccdc47
1424638_at	Cdkn1a
1424639_a_at	Hmgcl
1424640_at	Arl8a
1424641_a_at	Thoc1
1424642_at	Thoc1
1424643_at	Tcof1
1424644_at	Tbcc
1424645_at	Tnrc6c
1424646_at	Uckl1
1424647_at	Gabrp
1424648_at	Ift27
1424649_a_at	Tspan8
1424650_at	Pdia5
1424651_at	Acsf3
1424652_at	Eva1a
1424653_at	Tspan15
1424654_at	Acp2
1424655_at	Acp2
1424656_s_at	Usp19
1424657_at	Taok1
1424658_at	Taok1
1424659_at	Slit2
1424660_s_at	Crtc2
1424661_at	Pmpca
1424662_at	Pmpca
1424663_at	Fam222b
1424664_at	Fam222b
1424665_at	Gpatch8
1424666_at	Gpatch8
1424667_a_at	Cux1
1424668_a_at	Cux1
1424669_at	Zfyve21
1424670_s_at	Zfyve21
1424671_at	Plekhf1
1424672_at	Dmxl1
1424673_at	Clec2h
1424674_at	Slc39a6
1424675_at	Slc39a6
1424676_s_at	Sec14l4
1424677_at	Cyp2j9
1424678_at	Actl7b
1424679_at	Mab21l1
1424680_at	Fam26e
1424681_a_at	Psma5
1424682_at	Gpn3
1424683_at	Fam134b
1424684_at	Rab5c
1424685_at	Exosc4
1424686_at	Heatr6
1424687_at	Heatr6
1424688_at	Creb3l3
1424689_at	Prss32
1424690_at	Cacfd1
1424691_at	Cacfd1
1424692_at	L3hypdh
1424693_at	Erlec1
1424694_at	Fam210b
1424695_at	Fam210b
1424696_at	Gpr89
1424697_at	Dtwd1
1424698_s_at	Gca
1424699_at	Ccdc136
1424700_at	Tmem38b
1424701_at	Pcdh20
1424702_a_at	Atg2b
1424703_at	Hemk1
1424704_at	Runx2
1424705_at	Rbmx2
1424706_at	Zfp51
1424707_at	Tmed10
1424708_at	Tmed10
1424709_at	Sc5d
1424710_a_at	Gorasp2
1424711_at	Tmem2
1424712_at	Ahctf1
1424713_at	Calml4
1424714_at	Aldoc
1424715_at	Retsat
1424716_at	Retsat
1424717_at	Mis12
1424718_at	Mapt
1424719_a_at	Mapt
1424720_at	Mgat4b
1424721_at	Mfap3
1424722_at	1300017J02Rik
1424723_s_at	Cstf3
1424724_a_at	D16Ertd472e
1424725_at	D16Ertd472e
1424726_at	Tmem150a
1424727_at	Ccr5
1424728_at	Rrp36
1424729_at	Adig
1424730_a_at	Slc15a2
1424731_at	Nle1
1424732_s_at	Tmem192
1424733_at	P2ry14
1424734_at	Rasgrf1
1424735_at	Slc25a25
1424736_at	Eef2
1424737_at	Thrsp
1424738_at	Ap5m1
1424739_at	Ap5m1
1424740_at	Creb3
1424741_s_at	Creb3
1424742_at	Creb3
1424743_at	Jmjd8
1424744_at	Sds
1424745_at	Phykpl
1424746_at	Kif1c
1424747_at	Kif1c
1424748_at	Galnt11
1424749_at	Wdfy1
1424750_at	Zbtb1
1424751_at	Abt1
1424752_x_at	Zfp65 
1424753_at	Nudt14
1424754_at	Ms4a7
1424755_at	Hip1
1424756_at	Hip1
1424757_at	Plppr2
1424758_s_at	Serpina10
1424759_at	Arrdc4
1424760_a_at	Smyd2
1424761_at	Tcaf2
1424762_at	C1qtnf5 
1424763_at	Rsph9
1424764_at	Sez6l
1424765_at	Eps15l1
1424766_at	Ercc6l
1424767_at	Cdh22
1424768_at	Cald1
1424769_s_at	Cald1
1424770_at	Cald1
1424771_at	H2afj
1424772_at	H2afj
1424773_at	Mvb12a
1424774_s_at	Ears2
1424775_at	Oas1a
1424776_a_at	Slc25a28
1424777_at	Dcaf4
1424778_at	Reep3
1424779_at	Reep3
1424780_a_at	Reep3
1424781_at	Reep3
1424782_at	Dram2
1424783_a_at	Ugt1a1 
1424784_at	Gm13139
1424785_at	Angptl6
1424786_s_at	Wdr45
1424787_a_at	Nrf1
1424788_at	Kri1
1424789_at	Zscan22
1424790_at	Slc25a42
1424791_a_at	Bcam
1424792_at	Rpp40
1424793_a_at	Pbp2
1424794_at	Rnf186
1424795_a_at	1700001O22Rik
1424796_at	Ccsap
1424797_a_at	Pitx2
1424798_a_at	Adam5
1424799_a_at	Gcc1
1424800_at	Enah
1424801_at	Enah
1424802_a_at	Luc7l3
1424803_at	Mios
1424804_at	Mios
1424805_a_at	Tmem214
1424806_s_at	Tmem214
1424807_at	Lama4
1424808_at	Lama4
1424809_at	Crb3
1424810_at	Tasp1
1424811_at	Cml5
1424812_at	BC017158
1424813_at	Fam149b
1424814_a_at	Bcl2l14
1424815_at	Gys2
1424816_at	Cecr5
1424817_at	Spef1
1424818_at	Alg12
1424819_a_at	Ric8
1424820_a_at	Ndfip1
1424821_at	Ndfip1
1424822_at	Slain1
1424823_s_at	Slain1
1424824_at	Slain1
1424825_a_at	Glycam1
1424826_s_at	Mtss1
1424827_a_at	Csnk1a1
1424828_a_at	Fh1
1424829_at	Tor4a
1424830_at	Ccnk
1424831_at	Cpne2
1424832_at	Cd300ld
1424833_at	Itpr2
1424834_s_at	Itpr2
1424835_at	Gstm4
1424836_a_at	Clasp2
1424837_at	Rnf113a1
1424838_at	Ncmap
1424839_a_at	Nsun4
1424840_at	Rbks
1424841_s_at	Rbks
1424842_a_at	Arhgap24
1424843_a_at	Gas5
1424844_at	Angel1
1424845_a_at	Cep68
1424846_at	Cep68
1424847_at	Nefh
1424848_at	Kcnma1
1424849_at	Wdr62
1424850_at	Map3k1
1424851_at	Chchd5
1424852_at	Mef2c
1424853_s_at	Cyp4a10 
1424854_at	Hist1h4i 
1424855_at	Olah
1424856_at	Atp1a3
1424857_a_at	Trim34a
1424858_at	L2hgdh
1424859_at	Homer3
1424860_at	D930016D06Rik
1424861_at	D930016D06Rik
1424862_s_at	Mib2
1424863_a_at	Hipk2
1424864_at	Hipk2
1424865_at	Pyy
1424866_at	Usp43
1424867_a_at	Glyat
1424868_at	Glyat
1424869_at	Dhrs7b
1424870_at	Osbpl10
1424871_s_at	Ubald1
1424872_at	Zfp932
1424873_at	Rnf2
1424874_a_at	Ptbp1
1424875_at	Spg20
1424876_s_at	Spg20
1424877_a_at	Alad
1424878_at	Gm20605 
1424879_at	Gm20605 
1424880_at	Trib1
1424881_at	Trib1
1424882_a_at	Nt5dc2
1424883_s_at	Srsf7
1424884_at	Fbxw2
1424885_at	Klhdc8a
1424886_at	Ptprd
1424887_at	Klhdc4
1424888_at	March2
1424889_at	Nupl2
1424890_at	Bnc1
1424891_a_at	Zw10
1424892_at	Zkscan5
1424893_at	Ndel1
1424894_at	Rab13
1424895_at	Gpsm2
1424896_at	Gpr85
1424897_at	Gpr85
1424898_at	Slc10a1
1424899_at	Nmnat3
1424900_at	Cenpw 
1424901_at	Gcnt3
1424902_at	Plxdc1
1424903_at	Kdm5d
1424904_at	Vwa8
1424905_a_at	Slc39a11
1424906_at	Pqlc3
1424907_a_at	Farsa
1424908_at	Mtfmt
1424909_at	Lrrc46
1424910_at	Kif12
1424911_a_at	Lyzl4
1424912_at	Slc25a17
1424913_at	Cipc
1424914_at	Cipc
1424915_s_at	Cipc
1424916_x_at	Zfp764
1424917_a_at	Wipi1
1424918_at	Tbc1d19
1424919_at	Erbb2
1424920_at	Slc37a3
1424921_at	Bst2
1424922_a_at	Brd4
1424923_at	Serpina3g
1424924_at	Sec63
1424925_at	Sec63
1424926_at	Sec63
1424927_at	Glipr1
1424928_at	Emsy
1424929_a_at	Trim26
1424930_s_at	Fam83f
1424931_s_at	Iglc1 
1424932_at	Egfr
1424933_at	Myo5c
1424934_at	Ugt2b1
1424935_at	Gdap1l1
1424936_a_at	Dnah8
1424937_at	Plin5
1424938_at	Steap1
1424939_at	Asz1
1424940_s_at	BC022687
1424941_at	BC016579
1424942_a_at	Myc
1424943_at	Cyp4a31
1424944_at	Pcp2
1424945_at	Chrdl1
1424946_a_at	Mtfr1
